Coil Voltage (Volts),Coil Current (Amp),Mag. Field (mT),Count 1,Count 2
0,0,0.3,239,217
0.24,0.1,7.3,311,329
0.49,0.2,14.4,458,443
0.75,0.3,22.8,747,741
0.98,0.4,31.3,1097,1119
1.23,0.5,39.9,1569,1460
1.51,0.60,49.6,1857,1913
1.71,0.7,58.0,2171,1999
1.95,0.8,67.4,2225,2183
2.21,0.9,75.9,2257,2337
2.46,1,87.0,2172,2180
2.96,1.19,101.2,1873,1877
3.48,1.4,117.5,1460,1428
4.25,1.7,140.7,835,849
5.0,2.0,161.8,507,524
